Club	y	A	shots	SOG	FC	FS	OFF	CK	PKG	PKA	x	pts
New York Red Bulls	58	57	404	145	437	353	96	139	3	3	NYRB	59
Real Salt Lake	57	50	449	168	400	421	67	165	6	7	RSL	56
Portland Timbers	54	53	445	156	436	450	94	170	3	3	POR	57
Vancouver Whitecaps FC	53	47	438	155	387	406	72	139	6	6	VAN	48
LA Galaxy	53	53	489	167	386	403	44	217	6	8	LAG	53
Montreal Impact	50	49	417	168	370	480	125	141	4	4	MTL	49
New England Revolution	49	45	398	148	440	452	66	155	3	5	NE	51
FC Dallas	48	40	430	152	416	480	93	176	3	4	FCD	44
Sporting Kansas City	47	43	501	155	511	452	50	171	4	4	SKC	58
Chicago Fire	47	39	505	182	394	401	62	176	3	5	CHI	49
Colorado Rapids	45	39	460	141	426	401	71	150	3	4	COL	51
Philadelphia Union	42	41	459	150	438	417	78	172	0	0	PHI	46
Seattle Sounders FC	42	36	411	129	446	425	92	169	3	4	SEA	52
Columbus Crew	42	31	479	151	460	435	89	154	6	9	CLB	41
Houston Dynamo	41	43	472	143	372	377	69	202	3	5	HOU	51		
San Jose Earthquakes	35	37	439	140	411	425	86	201	2	2	SJ	51
Chivas USA	30	22	333	111	465	402	52	130	1	3	CHV	26
Toronto FC	30	23	344	108	435	432	76	163	2	2	TFC	29
D.C. United	22	20	400	125	393	411	101	187	2	3	DCU	16